file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/QueryRunner.java,584,NullifyInputVariable,"public <T> T query(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException {","public <T> T query(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException { rsh = null;",71,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,258,NullifyInputVariable,"public <T> List<T> execute(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException {","public <T> List<T> execute(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException { params = null;",109,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,382,NullifyInputVariable,"public <T> T insert(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException {","public <T> T insert(final Connection conn, final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException { conn = null;",100,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,322,NullifyInputVariable,"protected final Date getDate(final String columnLabel, final Calendar cal) throws SQLException {","protected final Date getDate(final String columnLabel, final Calendar cal) throws SQLException { columnLabel = null;",194,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1058,NullifyInputVariable,"protected final void updateCharacterStream(final String columnLabel, final Reader reader, final int length) throws SQLException {","protected final void updateCharacterStream(final String columnLabel, final Reader reader, final int length) throws SQLException { columnLabel = null;",122,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,266,NullifyInputVariable,protected final Reader getCharacterStream(final String columnLabel) throws SQLException {,protected final Reader getCharacterStream(final String columnLabel) throws SQLException { columnLabel = null;,198,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,434,NullifyInputVariable,protected final NClob getNClob(final String columnLabel) throws SQLException {,protected final NClob getNClob(final String columnLabel) throws SQLException { columnLabel = null;,187,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,588,NullifyInputVariable,"protected final Time getTime(final String columnLabel, final Calendar cal) throws SQLException {","protected final Time getTime(final String columnLabel, final Calendar cal) throws SQLException { cal = null;",173,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BeanProcessor.java,269,NullifyInputVariable,"private boolean matchesPrimitive(final Class<?> targetType, final Class<?> valueType) {","private boolean matchesPrimitive(final Class<?> targetType, final Class<?> valueType) { valueType = null;",47,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/DbUtils.java,159,NullifyInputVariable,public static void closeQuietly(final Connection conn) {,public static void closeQuietly(final Connection conn) { conn = null;,35,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1233,NullifyInputVariable,"protected final void updateNClob(final String columnLabel, final NClob nClob) throws SQLException {","protected final void updateNClob(final String columnLabel, final NClob nClob) throws SQLException { columnLabel = null;",93,reduced_nullify_final_param_non_compilable
